linkId,maxDist,medianDist,maxSimDist,medianSimDist,sumCostOfTrees,sumOfOwnCost,upTo90Count,upTo100Count
3249,1270,1150,3133,2438,3485,0,5,6
137,1270,1150,3811,2536,3631,301,5,7
4643,814,417,3206,1814,4323,0,8,10
5393,801,574,3597,2264,2551,0,6,7
972,801,399,2761,2288,3432,140,4,8
4647,0,0,0,0,508,0,1,1
2630,246,103,2253,1917,333,28,3,3
2343,129,129,1790,1790,918,269,2,2
1834,547,109,2707,1674,1582,330,5,6
1859,0,0,0,0,1549,758,1,1
1858,285,191,1993,1428,3063,1967,3,4
4637,428,428,1999,1999,550,0,2,2
3425,428,428,2019,2019,550,0,2,2
1500,541,307,3119,2248,4527,578,5,7
991,799,339,3819,2305,3522,479,3,6
989,451,336,3596,2091,1379,0,8,9
217,1683,692,3428,1915,15620,538,6,10
366,321,126,3375,2192,2410,30,6,8
3738,0,0,0,0,920,0,1,1
902,0,0,0,0,920,0,1,1
4153,0,0,0,0,137,0,1,1
2152,332,244,3296,2207,1491,0,7,8
2143,126,126,3652,3652,516,173,2,2
2142,278,278,2784,2784,456,85,2,2
2936,278,101,2382,662,651,160,3,3
2151,244,115,1037,728,1002,347,3,4
2149,244,115,3713,3284,775,148,4,4
2148,0,0,1174,1174,699,179,2,2
291,236,122,3296,2762,911,248,4,4
1832,890,442,3296,1841,5278,1228,7,9
1831,679,437,3131,2324,4520,261,5,8
3305,487,293,2844,1990,1400,0,5,5
1285,1012,802,3535,2518,1291,0,6,6
1284,1012,802,1938,886,1421,374,6,7
2800,507,279,2751,1920,2392,0,10,12
2474,146,77,2974,1870,1865,1174,3,5
324,314,193,3583,2646,2068,45,5,6
2150,0,0,2225,2225,623,0,2,2
4867,0,0,0,0,631,0,1,1
2959,201,201,2367,2367,896,68,2,2
2639,0,0,0,0,3766,2836,1,1
4227,0,0,0,0,3766,0,1,1
1422,0,0,0,0,178,0,1,1
1920,326,187,2777,789,965,42,3,4
302,633,633,1940,1940,580,0,2,2
5015,607,494,3363,2095,2170,0,5,7
3128,551,273,2865,2087,1509,0,5,7
3129,551,273,3374,2401,1509,0,5,7
2659,0,0,0,0,234,0,1,1
211,208,208,289,289,330,6,2,2
3275,208,208,3775,3775,330,0,2,2
782,383,214,2771,2241,1043,37,7,7
4642,521,431,3051,1565,2212,0,5,6
190,521,431,2430,1040,1476,0,5,5
3106,574,224,2305,1857,1556,0,2,4
3105,872,432,2751,2140,3125,0,3,5
1893,438,238,3067,2247,1904,0,3,7
1892,438,238,3967,2435,2022,722,3,8
227,764,597,2321,1294,3399,0,4,7
5014,1001,494,3692,2572,2700,0,10,12
920,918,421,3139,2088,1341,125,6,6
1680,611,291,4061,2265,1687,0,4,4
1679,737,310,3410,2305,2160,319,6,8
3262,852,755,3341,2185,40120,0,4,12
4493,923,603,3258,2240,41125,0,5,14
652,53,53,806,806,264,158,2,2
651,0,0,0,0,107,23,1,1
984,451,256,2864,2206,728,60,7,7
1758,143,143,765,765,5748,2086,1,2
53,249,143,2167,775,1595,308,3,4
1572,447,229,2916,2197,1795,564,4,6
1590,211,88,4582,3431,1330,512,1,3
3370,158,104,3451,1375,1275,0,3,3
111,285,185,1474,777,7807,0,2,3
1944,116,116,2080,2080,330,0,2,2
1943,116,101,2024,1532,2873,346,2,3
296,991,942,2497,1629,1830,0,3,3
1053,455,325,3217,2135,1693,607,5,6
107,67,67,2653,2653,488,198,2,2
345,810,343,4130,2759,1785,520,6,7
5217,221,68,2870,2236,2875,0,3,3
528,179,155,3216,2177,1146,327,3,4
4787,294,176,3120,2373,7920,0,3,7
4786,581,411,3112,1763,8087,0,3,9
955,581,411,2398,1826,8236,0,3,10
2662,398,130,2475,493,436,0,3,3
2827,0,0,0,0,4661,1574,1,1
2826,0,0,0,0,4661,859,1,1
2825,302,196,3737,2802,7528,911,3,4
483,299,244,4001,2144,702,618,3,4
3205,245,245,1086,1086,1863,0,1,2
3240,0,0,0,0,71,0,1,1
1094,165,165,1200,1200,218,13,2,2
4719,0,0,0,0,378,0,1,1
1757,126,94,3545,2431,13482,7901,2,3
5194,591,591,1796,1796,279,0,2,2
1966,194,83,2752,2631,17928,5179,2,3
1965,194,83,3173,1856,17928,2067,2,3
117,237,196,2411,2050,5792,1323,1,3
275,383,172,3102,1751,428,279,3,4
2394,580,518,3160,2337,4292,792,3,6
747,630,487,3715,2940,1415,111,4,4
746,392,392,2453,2453,1153,78,2,2
745,0,0,0,0,275,14,1,1
2366,81,81,393,393,266,114,2,2
154,0,0,0,0,87,0,1,1
3078,209,209,1377,1377,9495,0,1,2
2910,457,188,1964,1374,1672,0,3,4
576,220,190,2395,2243,1167,954,2,6
3611,209,164,3258,2286,1210,0,2,5
2637,95,95,3184,3184,575,115,2,2
694,0,0,0,0,105,105,1,1
4710,378,378,1024,1024,177,0,2,2
4558,415,351,2487,1644,2667,0,2,4
4557,415,351,1206,920,2889,0,2,4
1530,50,50,1211,1211,7069,620,1,2
2604,627,287,2211,330,472,0,3,3
716,1090,587,3779,2175,3917,16,6,7
2333,429,303,2487,484,665,89,3,3
2851,0,0,0,0,77,60,1,1
2850,0,0,0,0,77,0,1,1
2849,0,0,0,0,77,0,1,1
2848,0,0,0,0,77,0,1,1
1101,768,346,4162,3608,1755,297,3,5
666,383,257,2384,1693,1173,175,4,6
3120,126,94,2881,330,417,0,3,3
2237,364,154,4705,2609,2847,365,4,5
4265,275,152,3539,2166,22209,0,2,6
4241,476,251,3016,1748,15905,0,2,7
453,476,251,2917,2195,15905,0,2,7
5337,476,251,3216,1812,14544,0,2,7
954,476,251,4615,2770,14544,8634,2,7
2120,231,152,2599,1487,20598,0,2,4
2119,231,152,4042,2651,20598,0,2,4
2118,411,211,3531,2341,20955,8,2,5
2911,456,187,3695,2648,6871,0,2,5
2395,744,518,3379,2405,6009,873,2,8
803,482,357,4027,3366,3573,500,3,5
5381,468,311,3146,2250,9832,0,2,4
2362,521,342,3054,2189,7085,163,5,6
874,218,160,2265,513,394,0,3,3
721,806,332,3275,2197,1558,0,6,6
1903,768,346,3759,2940,2012,208,6,7
1803,492,180,3055,689,801,0,3,3
3024,0,0,0,0,397,0,1,1
2260,2306,1030,3241,2035,103163,266,4,5
4137,605,347,3065,2005,3691,0,4,5
4136,605,347,3117,2461,3691,0,4,5
2809,605,347,3446,2735,4204,1102,5,6
1727,216,216,2973,2973,26982,19311,1,2
2968,778,609,3097,2144,2614,0,6,6
4875,778,469,2926,2190,3602,0,7,7
4874,786,432,3273,2383,4281,0,8,9
2606,914,628,3235,2317,10489,0,6,7
2605,914,628,2507,1814,10489,0,6,7
963,455,267,2882,2682,2442,56,6,6
3430,0,0,0,0,1425,0,1,1
1054,632,391,2459,2049,7517,423,4,8
