trunkId, day1, day2, day3, day4, day5,
1058,248,81,0,0,0,
2509,553,389,666,195,906,
6715,297,1790,771,906,810,
6024,937,0,0,389,242,
6112,2764,412,0,1900,0,
7553,664,0,0,0,0,
2336,1171,834,647,420,476,
2337,108,0,0,0,0,
6203,735,424,566,5302,955,
2431,157,0,341,0,0,
1792,156,359,0,0,275,
425,392,123,0,0,0,
264,1754,1181,75,391,612,
1011,181,102,0,117,158,
1333,208,229,311,0,64,
4888,338,0,168,0,145,
8520,4054,0,0,0,0,
3195,1108,0,66,63,0,
2080,512,1291,0,0,0,
7998,411,202,1094,217,830,
2159,69,0,107,0,0,
5551,225,172,0,116,205,
138,405,0,0,0,0,
2302,3132,0,0,0,127,
5169,651,147,0,189,241,
5678,1991,0,0,375,170,
793,584,0,137,0,217,
1359,180,0,0,0,76,
4907,407,446,80,285,531,
263,511,0,0,0,0,
3646,357,120,265,71,254,
5195,570,0,0,750,638,
1336,87,302,0,0,0,
2082,83,75,0,894,110,
3532,225,0,0,0,290,
4569,75,156,0,204,110,
5282,80,0,0,168,0,
7157,929,0,545,0,0,
1429,154,196,204,152,74,
7192,1155,0,2341,392,2707,
5831,829,4882,10634,1571,392,
7427,1232,13263,8770,8813,13214,
566,580,0,875,321,0,
5698,528,545,238,260,423,
7787,845,476,618,0,213,
3993,384,0,0,74,0,
5224,184,0,0,65,0,
8501,276,0,0,0,0,
205,161,0,0,0,0,
337,61,0,0,0,0,
3197,371,0,763,618,0,
1346,196,0,0,873,0,
6829,3755,0,2181,0,4580,
4320,198,78612,33308,160,0,
2048,379,287,595,553,298,
5101,1420,0,0,1775,1545,
8789,403,0,600,664,311,
1293,110,0,0,0,0,
8368,957,540,659,91,638,
3700,1967,0,128,0,624,
7969,129,0,0,0,0,
7395,232,0,489,208,397,
2081,239,0,135,439,229,
5284,104,76,0,0,0,
755,164,463,149,721,171,
3947,840,0,0,0,0,
5963,60,0,0,0,0,
4030,68,68,0,0,0,
6244,185,0,0,142,0,
371,895,0,0,391,0,
1545,172,0,0,0,0,
1397,73,0,0,0,0,
2800,160,60,115,131,0,
8448,271,0,0,0,0,
3542,2908,0,2696,116,1885,
5190,301,0,0,195,873,
344,390,0,0,107,1047,
8170,202,628,68,299,503,
496,118,0,165,0,0,
7480,130,0,62,0,0,
1180,89,88,0,0,0,
8098,535,435,240,0,280,
2289,409,0,0,0,0,
1960,754,1579,0,178,0,
4428,129,0,0,0,361,
241,69,150,125,0,739,
6409,115,0,0,0,0,
6863,238,0,0,0,0,
378,197,0,76,0,590,
6415,422,452,1848,0,0,
6222,3291,0,5998,322,0,
4524,2090,0,0,450,332,
718,116,0,0,140,0,
3161,3971,0,0,0,0,
2809,444,0,0,0,0,
1084,201,0,0,159,143,
5924,131,0,105,153,582,
135,631,491,0,0,191,
3800,210,0,0,136,153,
6500,77,0,0,0,0,
6395,155,0,0,0,0,
3749,63,0,0,164,157,
3205,288,0,354,0,0,
7983,72,0,148,0,274,
2133,261,0,0,0,77,
2157,80,0,0,70,152,
5533,390,0,0,0,0,
5736,187,0,259,277,402,
1163,72,169,0,0,0,
8665,99,111,0,0,0,
4889,190,64,207,0,75,
1286,62,0,0,0,0,
2308,256,0,0,0,0,
1941,226,0,310,0,71,
2969,321,0,0,0,0,
6943,270,0,0,6966,1510,
3309,103,0,300,0,371,
8105,436,0,0,0,107,
1203,86,0,0,0,289,
4453,85,0,0,0,0,
5194,96,0,0,213,529,
2329,170,74,0,0,0,
5146,212,76,0,1190,284,
251,700,0,332,0,60,
6717,940,0,397,0,1156,
3801,371,199,424,332,0,
870,82,112,0,93,0,
3724,377,0,620,0,0,
8764,159,234,546,0,63,
6146,329,263,70,0,377,
6606,356,678,855,0,345,
1598,159,0,0,0,0,
1556,17411,0,5035,0,0,
4365,654,0,170,0,0,
1329,3481,6201,4816,16182,3037,
1206,546,0,737,437,202,
1907,4215,1387,0,4829,0,
1041,151,0,0,261,0,
6688,281,0,0,0,189,
6773,1639,0,0,0,0,
1082,214,0,170,0,0,
6016,118,0,259,240,108,
6925,67,0,2579,2762,0,
7185,226,0,0,0,0,
4042,88,0,0,0,0,
740,182,0,0,0,70,
6501,227,144,0,72,0,
1034,427,0,287,238,172,
8369,1657,0,0,188,0,
1345,435,199,0,0,0,
8021,377,541,408,0,237,
1445,97,140,0,0,0,
3245,205,0,520,134,177,
7760,85,155,0,146,190,
6681,164,93,156,0,424,
5872,266,213,332,294,298,
914,113,0,0,281,0,
4054,151,0,0,0,0,
5167,73,0,0,0,0,
8431,112,0,0,0,0,
6223,196,0,80,0,96,
2095,926,1037,0,167,66,
5008,464,597,1816,471,252,
195,978,0,500,85,1182,
7431,154,0,75,70,0,
5193,274,0,0,0,327,
7717,182,0,0,66,256,
3316,134,0,0,259,108,
1369,305,426,459,139,0,
6413,1090,299,416,354,358,
6994,195,0,790,397,606,
5529,176,0,0,0,0,
7639,173,494,153,88,0,
6325,78,0,68,668,0,
5039,328,0,0,288,0,
7171,158,0,0,0,0,
69,123,0,207,126,170,
2022,399,343,180,877,0,
2506,106,323,144,0,212,
3403,125,0,103,97,0,
5471,237,0,0,0,0,
1729,90,0,122,0,0,
1790,177,246,0,67,134,
7806,603,472,425,0,0,
226,987,455,0,681,160,
321,596,0,486,0,0,
1332,8024,9002,9729,11322,17122,
5978,8028,0,0,0,0,
3625,3555,1474,1009,1259,1827,
1157,200,0,0,0,0,
324,1107,1224,249,0,0,
396,278,0,93,246,77,
3236,500,0,633,90,452,
8185,392,192,5885,101,113,
8545,449,268,264,71,0,
5721,121,0,127,0,0,
6250,182,0,228,74,0,
8269,4343,565,88,190,794,
3776,2427,2032,530,69,1289,
7191,76,0,895,0,0,
1879,132,0,0,0,0,
6531,183,122,0,0,179,
4200,132,0,0,0,0,
6627,137,0,522,0,91,
7558,101,0,0,0,0,
232,622,75,424,670,940,
6813,286,0,101,112,0,
8372,2027,1722,551,1964,2073,
4751,114,0,0,0,0,
2328,1415,1462,0,0,99,
46,221,0,106,0,412,
1475,376,0,0,0,0,
7799,1593,0,229,0,0,
1997,219,486,295,0,0,
