trunkId, day1, day2, day3, day4, day5,
8589,8,0,0,0,4,
8728,37,0,50,0,0,
8383,49,7,0,0,0,
8267,9,7,8,8,9,
1394,5,0,8,12,16,
1418,12,0,5,8,10,
7225,24,0,0,9,0,
5356,96,6,0,0,0,
1926,19,21,24,11,0,
5597,2,0,0,0,0,
3595,69,0,68,50,52,
7934,71,0,73,25,72,
3228,2,0,4,0,2,
5251,64,22,0,23,0,
3816,11,0,0,13,15,
616,38,8,0,10,0,
833,51,50,49,32,49,
1730,12,15,29,16,10,
1343,4,8,11,0,14,
3331,16,0,17,14,0,
3500,55,66,1,2,0,
7721,5,0,69,60,61,
8344,65,0,5,64,57,
6072,23,23,30,0,18,
7020,13,0,0,7,0,
4461,7,0,0,0,0,
286,50,56,48,0,45,
5332,6,5,0,3,4,
8001,49,19,27,35,12,
5124,32,0,0,16,0,
6728,12,0,26,22,4,
6749,56,65,6,6,57,
6979,5,0,0,0,0,
4788,54,18,0,15,0,
8147,32,0,21,21,26,
893,17,17,50,21,4,
5419,37,0,0,10,0,
7377,50,13,31,23,47,
6651,31,0,0,0,0,
1109,7,0,0,0,0,
1910,8,3,0,0,0,
3242,26,0,11,4,0,
4287,39,0,14,28,20,
5405,40,0,0,8,42,
5903,2,6,0,0,0,
8293,72,0,0,0,73,
2334,24,2,0,0,20,
6380,2,63,5,0,0,
7459,6,6,7,37,0,
3714,34,0,0,0,0,
8463,71,8,73,45,72,
5793,56,0,0,0,0,
8024,33,29,31,18,25,
6658,55,63,54,55,0,
8785,43,0,15,0,35,
1593,4,0,0,0,0,
665,59,38,0,6,0,
5885,8,62,0,0,71,
8291,55,0,57,0,53,
5780,24,4,34,23,28,
7818,14,22,13,0,0,
1181,19,0,21,8,22,
6946,25,0,5,0,0,
1385,9,0,0,0,0,
8058,55,0,35,53,0,
2013,9,0,30,0,0,
5420,38,0,0,0,0,
8370,24,5,0,0,0,
6314,52,0,5,0,0,
7640,28,54,2,18,48,
3174,52,0,51,0,0,
7840,12,0,44,9,51,
342,13,57,0,12,0,
7331,5,34,0,30,27,
6344,66,27,75,64,54,
1468,11,11,0,0,0,
8434,8,5,8,6,9,
3488,4,0,0,5,3,
7023,53,0,0,0,0,
7038,51,0,4,0,0,
5149,11,0,0,0,5,
964,31,0,0,0,5,
6378,5,5,14,8,53,
3573,13,5,9,0,7,
1069,10,0,0,0,7,
7995,19,26,23,30,12,
3369,18,0,18,0,27,
7394,11,12,4,17,0,
1726,38,0,35,10,10,
1617,27,14,2,13,24,
4080,28,0,11,0,0,
7471,24,57,24,23,0,
7812,51,0,53,8,0,
1144,66,0,0,0,0,
8158,58,69,0,52,0,
8701,31,0,0,6,0,
4208,57,22,0,0,53,
2224,67,13,0,51,55,
5510,15,0,0,0,0,
5604,16,12,0,5,0,
988,4,18,0,0,0,
7265,20,0,0,0,0,
7877,52,35,30,49,0,
864,52,0,0,0,0,
3540,62,0,68,62,62,
3118,55,0,56,52,11,
8738,48,48,3,31,8,
6785,8,0,0,17,13,
6125,21,0,0,13,46,
6271,15,13,7,9,0,
6958,15,0,2,5,0,
518,9,12,36,19,36,
8161,32,0,0,41,47,
2844,30,0,25,5,8,
389,10,0,2,9,0,
1952,3,0,7,0,0,
7506,4,6,0,0,0,
377,8,0,0,0,0,
6945,3,0,7,0,15,
8303,21,17,11,0,12,
6298,7,24,6,0,0,
7747,70,74,76,0,38,
7490,57,17,17,55,56,
3565,32,21,27,0,17,
8224,20,0,0,68,70,
1390,5,0,0,0,0,
7017,13,0,0,16,6,
7461,17,0,13,13,4,
6865,2,0,0,0,0,
2964,3,0,5,0,0,
5679,22,9,11,10,16,
6101,47,0,0,0,8,
441,27,12,53,14,0,
1568,51,11,22,13,7,
1111,20,12,10,4,13,
1134,7,9,4,10,0,
1091,9,0,2,0,0,
1119,10,39,28,23,30,
6657,14,0,0,0,0,
7510,8,10,0,6,0,
4555,60,63,2,0,6,
5009,12,11,4,0,0,
5846,16,12,11,28,24,
6320,60,0,53,12,0,
7803,3,6,6,0,0,
8005,11,4,0,7,2,
5931,8,0,21,7,6,
6753,44,8,13,0,43,
5168,6,2,0,0,4,
6236,2,0,0,0,0,
5937,86,0,0,0,0,
1176,95,96,96,86,82,
1234,87,89,84,65,80,
6297,74,72,3,0,7,
1189,10,16,17,20,38,
2235,43,20,2,14,12,
8439,71,73,0,0,0,
5041,70,22,0,56,0,
6133,19,0,0,0,0,
6418,66,62,59,62,55,
6172,18,0,0,0,0,
6866,2,0,0,0,0,
7219,17,0,30,11,9,
