trunkId, day1, day2, day3, day4, day5,
1952,10,3,7,6,0,
1648,5,0,9,0,6,
875,7,0,0,0,0,
2636,32,0,19,13,34,
1765,5,0,0,0,0,
1848,3,2,6,11,11,
856,3,16,7,10,0,
1918,56,11,0,0,6,
2679,16,2,0,13,0,
1766,2,0,0,0,16,
2107,24,9,0,0,18,
931,14,7,22,19,0,
1089,4,0,0,0,0,
667,3,12,0,5,0,
473,2,0,0,0,10,
2199,2,0,0,0,0,
152,26,0,0,0,0,
1409,10,3,26,8,23,
158,8,0,0,0,0,
1130,9,5,6,10,9,
733,8,9,0,10,0,
1911,7,3,0,9,7,
615,12,0,0,0,0,
2807,4,0,11,6,20,
1739,23,49,0,12,0,
411,3,7,0,3,16,
168,21,0,0,49,0,
322,7,2,2,5,0,
325,7,8,10,5,7,
1552,5,5,0,0,3,
1414,3,13,7,5,12,
414,5,0,21,0,10,
490,24,17,0,0,0,
2680,17,0,7,7,0,
1060,6,36,18,13,8,
728,16,23,11,37,23,
567,5,7,9,0,0,
1666,6,8,14,13,0,
1520,5,5,0,2,6,
1948,4,0,0,0,0,
1874,7,0,0,0,9,
2962,52,0,0,65,61,
1599,61,3,0,0,0,
2297,15,8,0,0,5,
4487,6,0,0,0,0,
2977,11,16,4,10,9,
1610,23,0,5,0,27,
2095,2,9,10,0,0,
1829,8,0,0,0,7,
1741,14,10,10,0,0,
1960,8,3,5,11,11,
1280,7,6,0,7,0,
399,7,3,17,1,0,
2546,8,0,0,9,13,
2595,28,2,39,21,17,
368,12,0,3,16,18,
2435,4,0,0,0,0,
2853,11,8,4,0,4,
2259,61,62,42,60,61,
1471,9,5,8,10,0,
2457,10,20,18,0,10,
712,17,10,8,15,4,
857,9,22,32,11,5,
1184,3,23,13,57,2,
621,28,5,0,6,30,
2434,2,14,0,0,0,
1596,66,64,0,59,7,
815,30,0,21,23,0,
415,8,6,0,24,0,
7,21,10,0,28,20,
2177,25,0,34,0,0,
2955,3,0,0,0,7,
2645,2,0,0,0,0,
314,2,0,0,0,0,
2202,2,9,10,5,6,
293,6,0,2,0,0,
2464,8,0,17,0,6,
2203,2,2,3,0,0,
743,5,0,0,4,4,
1100,8,13,20,14,7,
1241,3,13,2,0,6,
1821,2,6,7,3,5,
849,50,8,14,0,57,
705,2,0,0,0,0,
2925,6,18,0,17,10,
2635,3,2,0,0,0,
2492,11,3,0,11,31,
2476,4,0,11,0,2,
2640,9,0,0,5,11,
159,5,4,3,3,11,
1833,9,24,5,4,12,
2727,8,0,0,0,0,
1559,4,11,7,16,17,
1086,10,0,13,0,19,
1974,2,4,0,7,0,
2052,2,17,15,0,3,
775,5,25,0,13,3,
582,7,0,0,6,0,
4119,6,0,5,14,2,
2799,12,4,13,9,0,
465,5,0,7,0,7,
897,6,0,0,0,3,
1683,2,0,8,0,7,
2068,7,19,13,0,8,
1251,2,0,4,3,4,
729,3,0,0,67,0,
8,7,0,7,0,0,
1494,8,0,8,2,2,
2856,4,14,13,5,11,
2791,18,7,0,3,0,
4021,8,0,0,0,0,
4879,7,10,0,60,56,
1004,12,7,5,3,27,
1639,5,22,0,0,7,
1844,4,0,0,3,7,
2480,2,0,5,0,0,
274,14,9,4,16,12,
1929,6,0,0,6,0,
78,26,8,0,0,0,
197,3,0,0,0,7,
244,13,0,12,0,3,
1665,6,4,12,2,10,
2141,5,0,0,2,5,
2484,5,12,16,0,0,
2612,20,0,6,8,0,
2115,2,0,0,5,4,
352,12,27,61,0,3,
1373,5,0,58,0,58,
17,3,0,7,0,0,
2621,2,0,0,0,0,
55,2,0,0,2,0,
213,7,7,6,15,0,
532,7,18,24,13,31,
2535,4,6,0,27,0,
1834,4,0,0,5,3,
412,6,6,6,8,5,
87,4,0,13,0,0,
1859,9,6,9,5,6,
2528,7,4,0,6,0,
2883,5,7,4,11,0,
991,7,6,34,13,39,
2364,2,9,3,0,0,
1946,10,8,0,15,0,
2521,11,11,9,0,12,
366,4,0,7,0,0,
2024,3,14,7,21,9,
2143,6,3,0,0,0,
291,2,3,6,0,0,
1925,3,5,6,0,9,
838,60,23,61,63,0,
1891,4,4,6,15,10,
2882,2,4,0,2,7,
2474,11,0,9,0,0,
784,6,0,0,4,8,
125,3,5,4,14,11,
2881,3,0,0,30,0,
2639,2,23,23,20,6,
979,26,36,0,11,27,
1,4,0,17,9,9,
1422,2,0,0,0,0,
948,16,23,32,2,14,
533,6,2,6,6,10,
1500,6,5,0,4,0,
2439,4,0,9,7,0,
211,2,0,0,2,0,
2634,4,12,10,7,0,
151,4,0,0,4,0,
398,7,15,3,17,21,
734,3,12,15,23,14,
2720,11,6,0,0,0,
1031,5,5,0,0,0,
2093,2,7,3,4,3,
48,26,0,0,0,0,
1590,20,0,52,0,0,
222,5,21,0,0,0,
1678,5,2,0,0,0,
1662,10,3,0,2,10,
2422,6,7,0,0,4,
298,3,0,0,0,0,
97,6,13,7,13,17,
107,4,0,0,0,0,
297,4,2,0,0,0,
1767,9,47,0,9,0,
56,2,9,20,22,0,
1797,8,10,0,4,3,
1244,7,60,0,8,15,
528,2,0,0,9,0,
1943,7,12,4,2,9,
2827,5,0,58,0,26,
1233,3,0,0,0,0,
483,0,5,0,0,0,
1379,0,6,5,3,0,
2184,0,13,17,13,13,
965,0,10,6,3,9,
2488,0,2,0,0,0,
2013,0,7,15,40,45,
693,0,6,0,0,0,
1166,0,3,9,0,6,
1757,0,3,57,54,0,
2023,0,5,0,0,8,
1966,0,6,5,0,0,
117,0,19,8,28,0,
2777,0,78,0,21,16,
277,0,4,0,0,0,
2394,0,18,0,10,0,
747,0,4,0,0,6,
345,0,6,0,0,4,
752,0,7,0,6,0,
2366,0,5,3,0,0,
2493,0,8,0,0,0,
4124,0,2,0,10,15,
1740,0,12,5,0,0,
2590,0,4,0,7,0,
2831,0,20,0,77,0,
2637,0,7,0,9,8,
1649,0,3,0,0,0,
694,0,3,0,0,0,
1530,0,56,0,0,0,
2851,0,6,0,0,0,
186,0,13,0,0,0,
1101,0,22,8,0,0,
1758,0,57,0,0,0,
2240,0,6,10,0,18,
2913,0,18,5,0,0,
2380,0,2,12,11,0,
1226,0,48,61,68,69,
2855,0,36,0,0,0,
382,0,5,0,0,0,
2122,0,33,24,0,0,
718,0,12,0,0,0,
1904,0,2,0,0,0,
556,0,2,0,4,0,
2527,0,6,16,0,0,
1402,0,10,16,20,4,
1405,0,9,0,2,0,
1748,0,4,16,10,26,
2904,0,2,2,0,0,
700,0,12,0,0,12,
2327,0,8,5,2,7,
2545,0,6,12,3,0,
573,0,3,0,10,13,
1640,0,47,64,72,69,
2450,0,8,0,0,0,
2704,0,10,0,0,13,
294,0,10,0,0,0,
1432,0,16,0,33,0,
1880,0,5,0,5,0,
2577,0,52,63,0,0,
2722,0,7,0,0,0,
2829,0,12,0,0,0,
4136,0,7,0,0,0,
2469,0,5,8,0,9,
1671,0,16,8,8,0,
198,0,11,3,0,0,
765,0,10,0,7,3,
2445,0,11,0,0,0,
558,0,5,7,13,2,
2523,0,5,0,0,0,
2760,0,15,0,0,0,
