"_id",trunkId,loadedFor,startIteration,wtCost,generation,endIteration,key,isLeaf,totalBranches,time,maxCost,costProb,maxTime,timeProb
60892b88a2b58403ecce3f3e,2172,5,27,103,0,28,2172-27,true,0,2,103,1,2,1
60892b88a2b58403ecce3f3f,136,4,28,81,1,28,136-28,true,0,1,190,0.7011070110701108,2,0.6666666666666666
60892b88a2b58403ecce3f40,1987,3,27,86,0,28,1987-27,true,0,2,86,1,2,1
60892b88a2b58403ecce3f41,2410,2,28,87,0,28,2410-28,true,0,1,87,1,1,1
60892b88a2b58403ecce3f42,1591,7,28,79,0,29,1591-28,true,0,2,79,1,2,1
60892b88a2b58403ecce3f43,123,2,29,115,0,29,123-29,false,0,1,115,1,1,1
60892b88a2b58403ecce3f44,2580,4,29,64,0,29,2580-29,true,0,1,64,1,1,1
60892b88a2b58403ecce3f45,65,3,29,69,0,29,65-29,true,0,1,69,1,1,1
60892b88a2b58403ecce3f46,1342,10,30,77,0,30,1342-30,true,0,1,77,1,1,1
60892b88a2b58403ecce3f47,829,3,27,180,0,30,829-27,false,0,4,180,1,4,1
60892b88a2b58403ecce3f48,1860,6,30,62,0,30,1860-30,true,0,1,62,1,1,1
60892b88a2b58403ecce3f49,2857,6,30,127,1,30,2857-30,true,0,1,127,0.5247933884297521,1,0.5
60892b88a2b58403ecce3f4a,2717,4,30,80,0,30,2717-30,true,0,1,80,1,1,1
60892b88a2b58403ecce3f4b,1642,2,30,98,0,31,1642-30,true,0,2,98,1,2,1
60892b88a2b58403ecce3f4c,404,3,30,119,0,31,404-30,true,0,2,119,1,2,1
60892b88a2b58403ecce3f4d,2331,2,25,771,0,31,2331-25,true,0,7,771,1,7,1
60892b88a2b58403ecce3f4e,1850,2,27,290,0,31,1850-27,true,0,5,290,1,5,1
60892b88a2b58403ecce3f4f,4834,5,30,307,0,31,4834-30,true,0,2,307,1,2,1
60892b88a2b58403ecce3f50,1167,5,31,99,0,31,1167-31,true,0,1,99,1,1,1
60892b88a2b58403ecce3f51,2703,3,29,216,0,31,2703-29,true,0,3,216,1,3,1
60892b88a2b58403ecce3f52,165,4,31,89,0,31,165-31,true,0,1,89,1,1,1
60892b88a2b58403ecce3f53,396,2,30,100,0,31,396-30,true,0,2,100,1,2,1
60892b88a2b58403ecce3f54,1299,2,30,178,0,31,1299-30,true,0,2,178,1,2,1
60892b88a2b58403ecce3f55,865,3,31,65,0,31,865-31,true,0,1,65,1,1,1
60892b88a2b58403ecce3f56,1794,3,31,139,0,31,1794-31,false,0,1,139,1,1,1
60892b88a2b58403ecce3f57,625,2,31,62,0,31,625-31,true,0,1,62,1,1,1
60892b88a2b58403ecce3f58,279,5,32,362,0,32,279-32,false,0,1,362,1,1,1
60892b88a2b58403ecce3f59,2393,7,31,116,0,32,2393-31,false,0,2,116,1,2,1
60892b88a2b58403ecce3f5a,2561,3,31,345,0,32,2561-31,false,0,2,345,1,2,1
60892b88a2b58403ecce3f5b,1366,3,32,69,2,32,1366-32,true,0,1,466,0.6517482517482518,4,0.5714285714285714
60892b88a2b58403ecce3f5c,1786,3,31,181,0,32,1786-31,false,0,2,181,1,2,1
60892b88a2b58403ecce3f5d,1495,3,32,157,1,32,1495-32,false,0,1,157,0.5304054054054054,1,0.5
60892b88a2b58403ecce3f5e,2531,4,32,75,0,32,2531-32,true,0,1,75,1,1,1
60892b88a2b58403ecce3f5f,845,2,31,118,0,32,845-31,true,0,2,118,1,2,1
60892b88a2b58403ecce3f60,2487,2,32,198,0,32,2487-32,true,0,1,198,1,1,1
60892b88a2b58403ecce3f61,1015,2,32,92,0,32,1015-32,true,0,1,92,1,1,1
60892b88a2b58403ecce3f62,1431,2,32,113,0,32,1431-32,true,0,1,113,1,1,1
60892b88a2b58403ecce3f63,1268,2,32,124,0,33,1268-32,true,0,2,124,1,2,1
60892b88a2b58403ecce3f64,2173,4,31,287,0,33,2173-31,true,0,3,287,1,3,1
60892b88a2b58403ecce3f65,136,8,32,120,0,33,136-32,true,0,2,120,1,2,1
60892b88a2b58403ecce3f66,320,4,31,169,0,33,320-31,true,0,3,169,1,3,1
60892b88a2b58403ecce3f67,407,3,33,209,1,33,407-33,true,0,1,209,0.6430769230769231,2,0.6666666666666666
60892b88a2b58403ecce3f68,2465,4,31,160,0,33,2465-31,true,0,3,160,1,3,1
60892b88a2b58403ecce3f69,1522,5,32,171,0,33,1522-32,true,0,2,171,1,2,1
60892b88a2b58403ecce3f6a,2515,5,32,276,1,33,2515-32,false,0,2,345,0.5555555555555556,2,0.5
60892b88a2b58403ecce3f6b,862,4,33,70,0,33,862-33,true,0,1,70,1,1,1
60892b88a2b58403ecce3f6c,1341,4,32,129,0,33,1341-32,true,0,2,129,1,2,1
60892b88a2b58403ecce3f6d,1792,5,33,254,2,33,1792-33,true,0,1,254,0.4618181818181818,1,0.3333333333333333
60892b88a2b58403ecce3f6e,2489,4,33,162,1,33,2489-33,false,0,1,181,0.5276967930029155,2,0.6666666666666666
60892b88a2b58403ecce3f6f,671,3,32,69,0,33,671-32,true,0,2,69,1,2,1
60892b88a2b58403ecce3f70,1164,4,33,479,0,33,1164-33,true,0,1,479,1,1,1
60892b88a2b58403ecce3f71,2359,2,31,91,0,33,2359-31,true,0,3,91,1,3,1
60892b88a2b58403ecce3f72,1725,1,33,62,0,33,1725-33,true,0,1,62,1,1,1
60892b88a2b58403ecce3f73,401,2,33,150,0,33,401-33,true,0,1,150,1,1,1
60892b88a2b58403ecce3f74,2054,2,33,63,0,33,2054-33,true,0,1,63,1,1,1
60892b88a2b58403ecce3f75,1734,6,32,103,0,34,1734-32,true,0,3,103,1,3,1
60892b88a2b58403ecce3f76,1936,4,30,487,0,34,1936-30,true,0,5,487,1,5,1
60892b88a2b58403ecce3f77,2449,5,31,225,0,34,2449-31,true,0,4,225,1,4,1
60892b88a2b58403ecce3f78,748,3,33,530,1,34,748-33,false,0,2,530,0.594170403587444,2,0.6666666666666666
60892b88a2b58403ecce3f79,949,6,33,80,0,34,949-33,true,0,2,80,1,2,1
60892b88a2b58403ecce3f7a,2307,4,32,451,0,34,2307-32,false,0,3,451,1,3,1
60892b88a2b58403ecce3f7b,865,5,33,487,0,34,865-33,false,0,2,487,1,2,1
60892b88a2b58403ecce3f7c,1161,4,32,470,0,34,1161-32,true,0,3,470,1,3,1
60892b88a2b58403ecce3f7d,2398,4,32,398,0,34,2398-32,false,0,3,398,1,3,1
60892b88a2b58403ecce3f7e,380,2,31,126,0,34,380-31,true,0,4,126,1,4,1
60892b88a2b58403ecce3f7f,1339,4,34,163,1,34,1339-34,true,0,1,693,0.8095794392523364,6,0.8571428571428571
60892b88a2b58403ecce3f80,2626,5,34,101,1,34,2626-34,true,0,1,4572,0.9783864754975391,8,0.8888888888888888
60892b88a2b58403ecce3f81,356,3,33,145,2,34,356-33,true,0,2,345,0.45039164490861616,2,0.3333333333333333
60892b88a2b58403ecce3f82,1755,2,32,313,0,34,1755-32,true,0,3,313,1,3,1
60892b88a2b58403ecce3f83,2762,4,34,72,0,34,2762-34,true,0,1,72,1,1,1
60892b88a2b58403ecce3f84,404,7,34,211,0,35,404-34,true,0,2,211,1,2,1
60892b88a2b58403ecce3f85,704,4,35,326,2,35,704-35,true,0,1,530,0.4351395730706076,2,0.5
60892b88a2b58403ecce3f86,832,7,34,74,1,35,832-34,true,0,2,340,0.821256038647343,3,0.6
60892b88a2b58403ecce3f87,1385,8,35,288,0,35,1385-35,true,0,1,288,1,1,1
60892b88a2b58403ecce3f88,1425,3,30,1794,0,35,1425-30,false,0,6,1794,1,6,1
60892b88a2b58403ecce3f89,2589,3,34,189,0,35,2589-34,true,0,2,189,1,2,1
60892b88a2b58403ecce3f8a,668,5,33,187,0,35,668-33,true,0,3,187,1,3,1
60892b88a2b58403ecce3f8b,1236,0,32,189,0,35,1236-32,true,0,4,189,1,4,1
60892b88a2b58403ecce3f8c,2746,6,34,138,0,35,2746-34,true,0,2,138,1,2,1
60892b88a2b58403ecce3f8d,150,6,35,85,0,35,150-35,true,0,1,85,1,1,1
60892b88a2b58403ecce3f8e,555,5,34,139,2,35,555-34,true,0,2,181,0.3755186721991701,2,0.4
60892b88a2b58403ecce3f8f,1190,6,35,323,1,35,1190-35,true,0,1,398,0.5520110957004161,3,0.75
60892b88a2b58403ecce3f90,2183,2,31,221,0,35,2183-31,true,0,5,221,1,5,1
60892b88a2b58403ecce3f91,1254,2,35,192,0,35,1254-35,true,0,1,192,1,1,1
60892b88a2b58403ecce3f92,2341,2,35,233,1,35,2341-35,true,0,1,487,0.6763888888888889,2,0.6666666666666666
60892b88a2b58403ecce3f93,505,3,33,185,0,35,505-33,true,0,3,185,1,3,1
60892b88a2b58403ecce3f94,104,3,35,106,0,35,104-35,true,0,1,106,1,1,1
60892b88a2b58403ecce3f95,1524,4,35,87,0,35,1524-35,true,0,1,87,1,1,1
60892b88a2b58403ecce3f96,1788,3,31,184,0,36,1788-31,false,0,6,184,1,6,1
60892b88a2b58403ecce3f97,1915,3,31,2655,0,36,1915-31,false,0,6,2655,1,6,1
60892b88a2b58403ecce3f98,748,6,36,671,0,36,748-36,true,0,1,671,1,1,1
60892b88a2b58403ecce3f99,1689,4,31,734,0,36,1689-31,false,0,6,734,1,6,1
60892b88a2b58403ecce3f9a,1030,3,36,251,0,36,1030-36,true,0,1,251,1,1,1
60892b88a2b58403ecce3f9b,1771,8,36,74,0,36,1771-36,true,0,1,74,1,1,1
60892b88a2b58403ecce3f9c,2159,6,34,615,0,36,2159-34,true,0,3,615,1,3,1
60892b88a2b58403ecce3f9d,1980,3,32,116,0,36,1980-32,true,0,5,116,1,5,1
60892b88a2b58403ecce3f9e,2436,7,36,64,0,36,2436-36,true,0,1,64,1,1,1
60892b88a2b58403ecce3f9f,116,6,36,622,0,36,116-36,true,0,1,622,1,1,1
60892b88a2b58403ecce3fa0,2465,1,36,68,0,36,2465-36,true,0,1,68,1,1,1
60892b88a2b58403ecce3fa1,1430,2,33,242,0,36,1430-33,false,0,4,242,1,4,1
60892b88a2b58403ecce3fa2,1922,5,35,464,0,36,1922-35,true,0,2,464,1,2,1
60892b88a2b58403ecce3fa3,2726,6,36,67,0,36,2726-36,false,0,1,67,1,1,1
60892b88a2b58403ecce3fa4,2914,4,34,124,0,36,2914-34,true,0,3,124,1,3,1
60892b88a2b58403ecce3fa5,1761,3,36,60,0,36,1761-36,true,0,1,60,1,1,1
60892b88a2b58403ecce3fa6,709,2,35,198,0,36,709-35,true,0,2,198,1,2,1
60892b88a2b58403ecce3fa7,1979,10,30,764,0,37,1979-30,false,0,8,764,1,8,1
60892b88a2b58403ecce3fa8,118,7,37,2824,1,37,118-37,false,0,1,2824,0.5154225223580945,6,0.8571428571428571
60892b88a2b58403ecce3fa9,2613,3,27,318,0,37,2613-27,true,0,11,318,1,11,1
60892b88a2b58403ecce3faa,1127,9,37,72,3,37,1127-37,true,0,1,685,0.49709724238026126,3,0.375
