trunkId, totalCost, maxCost, totalIterations, maxIter, totalSlope, maxSlope, totalBranches, maxBranches, sumOfTempCosts, maximalAvgK, count, maxCostIterationsCount, maxCostBranchesCount, maxBranchesIterationsCount
949,42.65,367,70,10,468,134,109,14,27.8,1.22222222222222,11,9,12,6
2137,14.0166666666667,333,27,11,147,59,32,21,10.0166666666667,1.10526315789474,4,5,21,5
1606,8.83333333333333,357,26,16,22,22,31,14,8.51666666666667,1.25,3,16,14,16
2400,171.116666666667,4154,110,15,1336,556,127,20,58.0666666666667,1.25,13,11,18,4
2074,19.3666666666667,247,39,6,13,13,100,18,4.01666666666667,1.28571428571429,11,4,18,4
668,26.4166666666667,637,37,11,160,81,43,18,21.3,1.5,6,11,7,3
862,18.35,889,63,54,63,47,15,8,25.65,1.33333333333333,2,54,8,54
1792,8.78333333333333,254,13,5,0,0,11,5,4.76666666666667,1,3,5,3,5
2470,55.5166666666667,2972,52,22,166,154,69,45,47.0333333333333,1.125,4,16,45,16
2489,246.216666666667,5658,322,67,468,192,65,23,203.716666666667,1.33333333333333,7,67,12,3
553,33.8833333333333,660,69,14,256,95,52,13,26.1166666666667,1.5,8,14,13,14
1164,90.0833333333333,2859,53,28,111,80,47,22,45.6666666666667,1.38461538461538,6,28,11,5
2433,29.7666666666667,1417,29,15,192,112,50,42,14.8666666666667,1.16666666666667,3,15,42,15
2447,279.933333333333,7554,44,12,1076,591,47,21,210.483333333333,1.5,5,10,21,10
1725,21.6166666666667,799,22,6,170,98,64,25,12.85,1.2,5,6,25,6
356,3.7,145,7,4,31,31,7,4,1.76666666666667,1.5,2,4,3,3
401,35.3666666666667,1522,84,54,56,27,14,7,33.2666666666667,1.5,3,54,7,54
505,82.25,1646,46,11,732,303,45,11,67.7666666666667,1.25,7,9,7,6
1430,30.3166666666667,732,38,10,156,58,35,10,9.21666666666667,1.2,6,10,10,10
2054,71.9166666666667,1281,108,22,253,86,190,27,45.6333333333333,1.2,14,22,4,5
2159,57.9333333333333,2127,31,13,515,322,20,9,42.7166666666667,1,3,13,9,13
167,45.4333333333333,1490,93,56,66,39,33,16,25.85,1.66666666666667,4,56,16,56
832,11.3,249,48,12,10,7,40,14,5.38333333333333,1.33333333333333,6,10,4,8
1628,52.65,1988,115,48,360,250,46,18,42.0666666666667,1.3,4,48,18,48
2589,9.55,189,14,4,105,91,29,9,4.88333333333333,1,4,4,9,4
373,27.35,1142,81,39,253,173,46,21,22.6833333333333,1.26666666666667,3,39,19,9
664,143.2,3783,143,55,420,148,83,24,106.716666666667,1.28571428571429,6,32,14,55
2746,17.5,366,47,8,257,126,58,17,10.4333333333333,1,7,7,17,7
555,2.31666666666667,139,6,6,39,39,5,5,0.833333333333333,1.25,1,6,5,6
1339,18.2333333333333,270,38,12,70,35,24,4,5.88333333333333,1,6,6,4,4
2626,80.4333333333333,4359,29,12,42,21,15,9,22.2666666666667,1.125,3,7,9,7
535,53.4166666666667,1779,107,26,254,130,66,18,45.3666666666667,1.2,9,26,16,6
