linkId,maxDist,medianDist,maxSimDist,medianSimDist,sumCostOfTrees,sumOfOwnCost,upTo90Count,upTo100Count
899,0,0,0,0,103036,0,1,1
5216,1252,626,2887,1788,6884,0,7,8
5157,764,238,3073,1635,1439,0,4,4
4870,360,169,1723,1016,523,0,3,3
2781,351,351,1148,1148,500,0,2,2
4932,0,0,0,0,387,0,1,1
245,0,0,0,0,387,0,1,1
3276,579,482,2585,1993,5158,0,2,5
712,307,307,3222,3222,289,9,2,2
172,0,0,0,0,209,82,1,1
5009,0,0,0,0,209,0,1,1
526,0,0,0,0,63,24,1,1
367,400,214,2271,1410,892,91,4,5
1358,0,0,0,0,464,6,1,1
4590,429,373,2636,624,3732,0,3,3
3900,0,0,0,0,650,0,1,1
2127,244,188,2243,1810,1928,0,3,3
2126,244,188,2010,708,1928,87,3,3
494,382,382,2265,2265,840,50,1,2
4104,286,209,1666,1333,1125,0,4,5
3130,0,0,0,0,348,0,1,1
2890,1220,936,3073,2338,1351,34,3,3
2892,1220,936,2919,1710,811,32,3,3
4654,0,0,0,0,134,0,1,1
4653,0,0,0,0,134,0,1,1
956,0,0,0,0,149,0,1,1
2427,0,0,0,0,786,3,1,1
2646,1109,228,3436,2428,4944,1169,4,5
486,0,0,0,0,331,0,1,1
485,0,0,0,0,331,0,1,1
484,0,0,0,0,331,0,1,1
1497,0,0,0,0,196,14,1,1
1109,1273,725,3386,1914,7704,2970,6,10
181,0,0,0,0,100,20,1,1
2790,223,223,327,327,160,140,2,2
564,0,0,0,0,246,16,1,1
3330,290,290,2807,2807,488,0,1,2
1306,296,182,2077,973,4541,1813,3,4
2204,0,0,0,0,521,58,1,1
3772,0,0,0,0,107,0,1,1
3774,0,0,0,0,107,0,1,1
1698,0,0,0,0,107,0,1,1
1697,0,0,0,0,107,0,1,1
1700,0,0,0,0,107,0,1,1
1699,0,0,0,0,107,0,1,1
4329,534,243,2807,2322,970,0,4,4
1417,0,0,0,0,120,2,1,1
1028,810,431,3145,2548,21806,8964,2,7
2176,0,0,0,0,1250,872,1,1
1399,357,191,2085,1922,1135,202,3,4
551,0,0,0,0,496,281,1,1
2286,126,126,2721,2721,566,0,1,2
2285,126,106,2991,1056,1925,1134,2,3
2572,0,0,0,0,165,0,1,1
1245,163,100,2882,1405,1940,1010,2,3
4860,362,261,3155,1429,1940,0,3,4
4859,362,261,1398,720,1940,0,3,4
4864,163,163,1960,1960,1402,0,2,2
1012,431,331,2001,1498,21121,6859,2,5
2414,0,0,0,0,235,0,1,1
2514,0,0,0,0,235,6,1,1
2513,0,0,0,0,104,6,1,1
4537,0,0,0,0,235,0,1,1
2870,0,0,0,0,72,0,1,1
481,0,0,0,0,105,33,1,1
5272,86,86,1586,1586,313,0,2,2
2810,0,0,0,0,60,0,1,1
2789,0,0,0,0,60,0,1,1
1324,406,322,2677,830,2941,0,3,4
4814,0,0,0,0,306,0,1,1
2674,0,0,0,0,66,0,1,1
2673,0,0,0,0,66,0,1,1
2697,0,0,0,0,66,0,1,1
2629,0,0,0,0,72,0,1,1
5292,111,111,2343,2343,658,0,2,2
1990,0,0,0,0,269,0,1,1
2109,839,563,1885,1086,1272,0,4,5
2108,839,563,2561,1765,1272,564,4,5
2586,636,309,3004,2522,967,0,4,5
2585,636,309,2378,1687,1029,0,4,5
310,465,144,3214,1696,8621,1971,2,4
5338,117,73,3061,2127,730,0,3,3
2579,0,0,0,0,510,0,1,1
2581,0,0,0,0,510,510,1,1
2758,0,0,0,0,510,0,1,1
2181,0,0,0,0,1985,40,1,1
3049,0,0,0,0,60,0,1,1
2832,326,231,2261,1400,1812,54,4,4
5318,0,0,0,0,1384,0,1,1
5319,0,0,0,0,1384,0,1,1
5316,0,0,0,0,1384,0,1,1
2437,304,219,2231,1695,7794,1457,3,6
1813,243,240,3785,1369,840,27,3,4
513,0,0,0,0,1897,90,1,1
512,0,0,0,0,1897,72,1,1
2622,237,237,2959,2959,2876,1632,1,2
5230,237,237,2011,2011,2490,0,1,2
2557,1417,1053,3055,2049,4992,0,5,8
2556,1592,1053,4059,2028,4992,0,6,9
2555,1792,1288,3896,2089,5221,17,6,10
2563,1031,855,3211,2440,3149,167,4,4
2497,688,425,2430,1690,1735,36,4,4
2426,688,347,906,733,1518,86,3,3
2496,688,425,2731,1242,1735,654,4,4
1140,0,0,0,0,4416,0,1,1
4598,196,196,2117,2117,3793,0,2,2
687,75,75,1708,1708,626,29,2,2
2643,0,0,0,0,4776,0,1,1
2642,0,0,0,0,4776,933,1,1
4895,527,465,2480,1697,4351,0,3,4
2794,85,85,1543,1543,995,0,2,2
2793,85,85,840,840,995,0,2,2
2792,85,85,781,781,995,35,2,2
1843,524,444,3289,2277,454,56,3,3
26,0,0,0,0,132,80,1,1
236,1582,894,2944,1744,3443,0,3,5
3076,688,372,1246,745,2079,0,3,4
1619,153,153,1654,1654,361,4,2,2
4796,565,565,921,921,4227,0,2,2
2750,0,0,0,0,437,0,1,1
2245,1168,842,3063,2098,11039,100,3,4
2265,0,0,0,0,473,0,1,1
2554,524,524,2496,2496,390,0,2,2
887,0,0,0,0,267,54,1,1
95,502,502,1566,1566,4317,0,2,2
94,821,502,2789,1006,4379,238,2,3
1528,195,195,530,530,167,134,2,2
5049,195,195,1426,1426,167,0,2,2
5055,195,195,2172,2172,167,0,2,2
1512,208,195,2433,1336,327,47,3,3
2983,0,0,0,0,3053,0,1,1
2765,0,0,0,0,3053,0,1,1
5232,1417,920,3641,2477,7469,0,5,5
5231,1417,1288,3131,1616,7818,0,6,7
2161,1417,1288,3022,1845,25701,21575,5,8
2244,1168,906,3948,2554,3317,22,3,3
4112,906,906,1459,1459,3306,0,2,2
2330,906,906,3926,3926,3306,57,2,2
2329,0,0,0,0,2834,45,1,1
2536,0,0,0,0,2834,11,1,1
2233,0,0,0,0,211,20,1,1
1175,91,91,3216,3216,2565,0,2,2
4791,636,432,2612,1626,2650,0,3,4
2310,188,99,2325,1502,757,71,4,4
4523,188,99,1663,1422,677,0,3,3
2766,253,99,2679,1697,3655,0,4,5
2565,434,302,2189,1432,2091,74,5,6
433,918,648,2741,1260,919,206,5,5
4714,0,0,0,0,17883,0,1,1
2164,0,0,0,0,17883,0,1,1
3813,0,0,0,0,4712,0,1,1
2163,0,0,0,0,17021,5,1,1
4131,314,314,1603,1603,344,0,2,2
1927,188,59,2244,1015,1174,207,4,4
5053,0,0,0,0,102,0,1,1
5051,0,0,0,0,102,0,1,1
1959,88,88,3538,3538,216,147,2,2
2371,0,0,0,0,5916,134,1,1
2564,315,138,3412,1609,1053,57,4,4
731,0,0,0,0,571,0,1,1
1102,817,121,1205,630,1109,114,4,4
2280,65,65,1947,1947,133,31,2,2
2279,92,61,2581,1616,424,30,3,3
1141,92,61,2701,2632,424,0,3,3
2315,0,0,0,0,2854,10,1,1
3701,0,0,0,0,2854,0,1,1
3700,0,0,0,0,2854,0,1,1
4530,0,0,0,0,1029,0,1,1
2694,434,190,2989,2146,396,14,3,3
2693,434,190,2951,1887,396,30,3,3
2891,1220,936,2466,2287,1003,0,3,3
237,1582,320,1172,599,2281,0,2,3
319,0,0,0,0,120,0,1,1
2562,293,133,1875,1765,1550,125,3,3
2311,188,81,726,561,589,0,3,3
2231,0,0,0,0,4308,0,1,1
2230,0,0,0,0,4308,1,1,1
1075,313,223,1516,1197,639,208,5,5
1811,624,375,2007,1831,1172,59,3,3
1810,624,375,2370,912,1172,198,3,3
336,188,188,3660,3660,558,24,2,2
432,326,238,1563,1035,475,18,4,4
431,326,266,2980,792,553,68,3,3
