trunkId, totalCost, maxCost, totalIterations, maxIter, totalSlope, maxSlope, totalBranches, maxBranches, sumOfTempCosts, maximalAvgK, count, maxCostIterationsCount, maxCostBranchesCount, maxBranchesIterationsCount
1124,15.25,378,25,8,287,265,19,7,6.55,1.16666666666667,5,8,7,8
4996,2.18333333333333,131,2,2,0,0,6,6,0.166666666666667,1,1,2,6,2
8320,232.1,10699,123,58,645,327,63,24,257.65,1.11111111111111,4,54,24,54
6020,11.7666666666667,197,13,5,17,17,29,9,1.03333333333333,1.14285714285714,4,2,6,3
1581,21.5166666666667,382,60,10,74,25,55,12,4.36666666666667,1.25,9,3,12,3
2068,18.6166666666667,427,23,7,28,28,49,16,3.08333333333333,1.2,5,3,11,6
6368,34.5333333333333,740,90,22,153,39,48,15,30.2,1.2,6,22,9,19
6002,106.033333333333,2708,142,52,179,87,33,13,110.516666666667,1.33333333333333,3,52,13,52
1477,79.15,4291,70,36,195,184,21,6,30.4666666666667,1,5,18,6,18
4800,35.5333333333333,2040,30,28,72,72,14,9,20.25,1,2,28,9,28
2722,5.53333333333333,128,18,10,33,16,9,3,2.2,1,3,4,3,10
7541,3.23333333333333,120,12,10,0,0,27,18,0.716666666666667,1.05882352941176,2,10,18,10
8384,4.96666666666667,179,16,14,14,14,6,3,2.41666666666667,1,2,14,3,2
1402,65.7,3126,124,61,100,56,28,10,51.55,1,4,61,10,61
6216,115.9,6635,113,56,134,128,42,23,27.1166666666667,1.17647058823529,3,56,23,56
8455,17.9666666666667,428,33,11,159,92,29,12,15.0333333333333,1,4,9,8,8
6720,1.38333333333333,83,2,2,0,0,3,3,0.233333333333333,1,1,2,3,2
1274,6.28333333333333,312,6,3,110,110,14,8,3.28333333333333,1.14285714285714,2,3,8,3
4910,23.0166666666667,567,194,84,16,6,9,3,11.7,1,3,72,3,84
7854,1.7,102,24,24,0,0,8,8,1.26666666666667,1.14285714285714,1,24,8,24
627,289.9,4928,219,51,358,115,34,9,109.533333333333,1.14285714285714,5,48,8,28
817,8.05,175,18,5,48,20,23,8,2.43333333333333,1.14285714285714,5,4,3,3
3922,17.7333333333333,717,14,7,44,26,27,12,4.21666666666667,1.42857142857143,3,2,12,2
5802,3.9,170,9,5,50,50,12,8,1.41666666666667,1.33333333333333,2,4,4,5
6354,9.5,474,8,6,0,0,7,4,0.633333333333333,1,2,2,4,2
5812,10.0833333333333,289,31,13,29,17,22,6,2.73333333333333,1.25,4,13,6,13
83,12.8833333333333,153,35,9,176,80,31,8,7.2,1.25,6,9,8,9
2155,1.71666666666667,103,2,2,0,0,4,4,0.283333333333333,1,1,2,4,2
4332,10.2166666666667,208,18,8,42,23,26,9,4.65,1.125,4,8,4,3
7949,11.0166666666667,661,2,2,0,0,5,5,9.35,1.25,1,2,5,2
6039,9.73333333333333,584,38,38,18,18,3,3,8.66666666666667,1,1,38,3,38
5888,2.2,132,9,9,17,17,5,5,1.21666666666667,1,1,9,5,9
4083,8.75,311,45,27,33,20,21,9,3.51666666666667,1,3,27,4,9
6697,21.4333333333333,491,54,16,59,23,54,11,7.4,1.25,6,4,11,4
3519,8.76666666666667,215,30,9,18,9,34,9,2.51666666666667,1.125,5,6,7,7
3949,9.81666666666667,415,9,3,0,0,10,4,5.63333333333333,1,3,3,4,3
8002,10.9666666666667,658,4,4,201,201,5,5,8.56666666666667,1,1,4,5,4
1312,13.7666666666667,753,18,14,5,5,9,6,0.5,1.2,2,14,6,14
562,9.43333333333333,349,21,13,12,12,6,3,1.13333333333333,1,2,13,3,13
5054,38.7833333333333,2229,38,32,57,49,15,11,14.7166666666667,1.1,2,32,4,6
3748,27.5666666666667,699,30,9,243,155,24,9,8.98333333333333,1.125,4,9,7,7
5748,3.08333333333333,119,17,11,0,0,13,7,0.566666666666667,1,2,6,6,11
3222,17.6,436,15,8,21,11,40,10,2.13333333333333,1.14285714285714,5,2,9,8
7984,8.01666666666667,249,12,6,0,0,22,10,3.85,1.2,3,6,6,2
3729,28.25,885,54,25,80,49,16,7,23.8333333333333,1,3,22,3,25
5145,3.31666666666667,125,5,3,26,26,23,12,1.38333333333333,1.1,2,3,11,2
580,5.36666666666667,180,15,11,33,24,11,6,3.65,1.5,2,4,5,11
8172,17.3,184,33,12,114,82,85,23,4.16666666666667,1.27272727272727,7,2,21,3
15894,13.4666666666667,232,28,14,86,41,37,11,7.26666666666667,1.1,4,14,8,7
2037,6.51666666666667,331,4,2,0,0,21,12,0.566666666666667,1.09090909090909,2,2,9,2
8302,9.5,228,18,7,10,10,30,15,2.76666666666667,1.2,4,7,5,6
4,6.35,295,66,51,7,7,11,6,4.43333333333333,1,2,51,5,15
4128,1.7,102,11,11,0,0,5,5,0.05,1,1,11,5,11
1613,5.91666666666667,188,14,11,70,62,7,4,2.1,1,2,3,3,11
2701,8.01666666666667,169,23,9,55,55,35,12,4.26666666666667,1.5,4,9,6,7
8279,6.38333333333333,383,3,3,138,138,4,4,4.65,1,1,3,4,3
5265,11.2666666666667,452,68,48,9,9,6,3,2.35,1,2,48,3,20
7358,17.9166666666667,1075,45,45,19,19,5,5,14.4833333333333,1.25,1,45,5,45
1583,13.25,376,34,16,75,47,28,11,5.33333333333333,1.33333333333333,4,16,7,9
2803,5.06666666666667,304,16,16,43,43,12,12,3.15,1,1,16,12,16
393,1.63333333333333,98,3,3,0,0,9,9,0.166666666666667,1.125,1,3,9,3
3651,3.36666666666667,111,12,6,44,44,14,9,1.61666666666667,1,2,6,9,6
1550,11.8833333333333,226,30,9,75,33,37,11,7.03333333333333,1.25,6,9,9,3
6080,2.96666666666667,109,11,6,21,12,11,7,1.88333333333333,1.4,2,6,4,5
5727,9.1,546,274,274,10,10,11,11,12.5833333333333,1.1,1,274,11,274
5927,8.06666666666667,484,471,471,8,8,10,10,18.7,1,1,471,10,471
7525,656.833333333333,19952,124,64,661,343,11,8,536.583333333333,1,2,60,3,64
8423,105.816666666667,2095,274,75,77,31,35,14,63.2833333333333,1,4,71,7,67
2120,78.1666666666667,2779,92,49,117,65,31,21,75.2166666666667,1.125,2,49,10,43
3953,18.05,1083,30,30,19,19,11,11,7.98333333333333,1.1,1,30,11,30
7741,139.35,4554,108,58,85,64,12,6,46.3166666666667,1,2,50,6,58
6390,85.15,2422,162,60,140,72,28,14,68.65,1.2,3,60,14,60
5911,18.0833333333333,938,16,13,0,0,20,16,1.68333333333333,1.06666666666667,2,13,16,13
3420,23.35,1096,10,4,252,149,25,11,7.05,1.1,3,3,7,3
3750,18.4166666666667,873,8,4,156,84,8,5,5.85,1,2,4,5,4
6425,4.58333333333333,160,4,2,0,0,10,5,0.766666666666667,1,2,2,5,2
2786,20.5166666666667,1164,62,59,23,23,8,5,17.3333333333333,1,2,59,3,3
3553,9.63333333333333,362,36,20,36,28,42,16,6.78333333333333,1.06666666666667,4,20,9,3
328,10.5333333333333,493,22,14,51,51,22,10,7.73333333333333,1,3,14,10,14
1940,5.55,98,33,12,35,19,38,15,2.01666666666667,1.15384615384615,4,5,15,5
1699,4.98333333333333,100,23,8,14,7,27,11,1.66666666666667,1.1,4,7,11,7
6530,40.4666666666667,2428,41,41,62,62,3,3,38.3,1.5,1,41,3,41
3863,1.35,81,5,5,5,5,6,6,1.6,1,1,5,6,5
8149,4.38333333333333,263,12,12,101,101,10,10,1.16666666666667,1,1,12,10,12
459,8.31666666666667,221,22,9,109,57,28,15,4.2,1.5,4,9,15,9
6623,31.8166666666667,1210,42,13,54,37,64,17,5.2,1.07692307692308,5,13,10,6
7406,3.11666666666667,187,33,33,5,5,5,5,0.633333333333333,1,1,33,5,33
2067,8.81666666666667,202,27,14,72,30,15,6,5.1,1.2,3,14,5,5
520,5.2,312,10,10,80,80,7,7,4.91666666666667,1,1,10,7,10
1353,1.45,87,7,7,24,24,7,7,1.03333333333333,1.16666666666667,1,7,7,7
