trunkId, iteration, wTCost, branchesCount, splits, costOfThisIterOnly, loadedFor, avgK
2461,2,0,2,0,0,2,1
2579,2,0,3,0,0,2,1
2596,2,5,2,0,0,2,1
2711,2,0,2,0,0,2,1
2777,2,14,4,1,0,2,1.33333333333333
2804,2,109,2,0,0,2,1
2934,2,23,3,0,7,2,1
1082,2,35,2,0,12,1,1
1930,2,103,3,0,57,1,1
2209,2,0,2,0,0,1,1
2492,2,13,5,1,0,1,1.25
35,3,40,2,0,4,3,1
1841,3,0,7,1,0,3,1.16666666666667
56,3,31,13,4,6,3,1.44444444444444
2618,3,102,12,0,0,3,1
80,3,0,3,0,0,3,1
82,3,76,4,1,14,3,1.33333333333333
150,3,27,9,0,6,3,1
2278,3,11,15,2,11,3,1.15384615384615
559,3,127,8,1,55,3,1.14285714285714
1596,3,32,9,0,4,3,1
206,3,0,3,0,0,3,1
223,3,0,6,0,0,3,1
1416,3,143,6,1,30,3,1.2
241,3,0,4,1,0,3,1.33333333333333
1710,3,12,4,0,6,3,1
2613,3,72,9,2,17,3,1.28571428571429
975,3,184,19,3,85,3,1.1875
268,3,8,17,4,8,3,1.30769230769231
1351,3,10,14,2,10,3,1.16666666666667
2523,3,31,4,0,4,3,1
2320,3,6,6,1,6,3,1.2
363,3,23,4,1,7,3,1.33333333333333
1445,3,116,14,1,14,3,1.07692307692308
812,3,0,3,0,0,3,1
412,3,139,2,0,0,3,1
2079,3,0,6,1,0,3,1.2
1542,3,0,72,8,0,3,1.125
464,3,14,8,2,0,3,1.33333333333333
500,3,0,2,0,0,3,1
1198,3,70,13,0,15,3,1
510,3,0,2,0,0,3,1
530,3,0,4,0,0,3,1
544,3,0,3,0,0,3,1
1117,3,0,6,2,0,3,1.5
591,3,0,4,0,0,3,1
604,3,29,3,0,0,3,1
618,3,26,8,0,0,3,1
797,3,94,13,2,36,3,1.18181818181818
1184,3,0,6,0,0,3,1
2305,3,75,15,0,36,3,1
673,3,304,33,4,53,3,1.13793103448276
676,3,0,4,0,0,3,1
679,3,18,2,0,0,3,1
745,3,15,2,0,7,3,1
1332,3,44,6,2,20,3,1.5
1592,3,0,3,0,0,3,1
835,3,0,8,0,0,3,1
848,3,31,12,3,0,3,1.33333333333333
851,3,70,2,0,21,3,1
895,3,16,3,1,0,3,1.5
2405,3,22,7,1,4,3,1.16666666666667
923,3,0,3,0,0,3,1
1726,3,12,16,3,6,3,1.23076923076923
2657,3,28,5,1,0,3,1.25
1034,3,0,4,0,0,3,1
2610,3,62,20,4,5,3,1.25
1778,3,182,12,1,31,3,1.09090909090909
1097,3,0,3,0,0,3,1
1625,3,0,3,0,0,3,1
1165,3,754,4,0,178,3,1
1172,3,0,2,0,0,3,1
1626,3,0,13,2,0,3,1.18181818181818
1629,3,0,4,0,0,3,1
2561,3,44,9,1,0,3,1.125
1211,3,0,3,0,0,3,1
1213,3,0,2,0,0,3,1
1229,3,20,7,1,0,3,1.16666666666667
1644,3,8,7,0,8,3,1
1980,3,89,8,1,12,3,1.14285714285714
1342,3,0,16,1,0,3,1.06666666666667
1378,3,0,2,0,0,3,1
2674,3,12,4,1,0,3,1.33333333333333
1385,3,23,2,0,0,3,1
1403,3,136,5,1,64,3,1.25
1424,3,0,2,0,0,3,1
1455,3,4,2,0,4,3,1
1463,3,0,2,0,0,3,1
1869,3,0,5,0,0,3,1
1955,3,72,6,1,9,2,1.2
2049,3,18,6,0,0,3,1
2113,3,0,5,1,0,3,1.25
1574,3,66,3,0,13,2,1
2268,3,0,3,0,0,3,1
1582,3,15,2,0,0,3,1
1605,3,10,5,0,0,3,1
2027,3,0,3,0,0,3,1
1621,3,0,3,0,0,3,1
2717,3,46,5,0,15,3,1
2394,3,10,2,0,0,3,1
2383,3,17,10,0,17,3,1
1108,3,111,6,0,17,2,1
2783,3,4,6,1,4,3,1.2
2814,3,0,4,0,0,3,1
2816,3,0,4,0,0,3,1
2808,3,0,6,0,0,3,1
2835,3,21,4,0,0,3,1
2931,3,0,3,0,0,3,1
1771,3,4,5,1,4,3,1.25
1804,3,0,3,0,0,3,1
1855,3,0,2,0,0,3,1
1861,3,14,2,0,0,3,1
1877,3,0,2,0,0,3,1
1907,3,139,11,3,106,3,1.375
1966,3,56,4,1,0,3,1.33333333333333
2026,3,0,2,0,0,3,1
2059,3,120,6,1,49,3,1.2
2067,3,0,2,0,0,3,1
2098,3,0,2,0,0,3,1
2158,3,0,6,1,0,3,1.2
2173,3,6,4,1,0,3,1.33333333333333
2189,3,102,6,2,15,3,1.5
2227,3,0,3,0,0,3,1
2236,3,0,4,0,0,3,1
2247,3,33,9,1,14,3,1.125
2382,3,0,2,0,0,3,1
2386,3,130,8,1,63,3,1.14285714285714
2396,3,0,2,0,0,3,1
2414,3,0,4,0,0,3,1
2579,3,0,3,0,0,3,1
2596,3,10,2,0,5,3,1
2676,3,12,5,0,12,3,1
2711,3,0,2,0,0,3,1
2777,3,14,3,0,0,3,1
2796,3,0,3,0,0,3,1
2934,3,23,2,0,0,3,1
766,3,3,2,0,0,2,1
1542,4,0,71,8,0,4,1.12698412698413
35,4,44,2,0,4,4,1
1841,4,0,7,1,0,4,1.16666666666667
56,4,33,9,2,2,4,1.28571428571429
2125,4,71,9,1,1,4,1.125
80,4,0,3,0,0,4,1
82,4,80,4,1,4,4,1.33333333333333
543,4,56,6,1,56,4,1.2
171,4,27,2,0,0,4,1
2278,4,0,7,1,0,4,1.16666666666667
559,4,156,7,2,29,4,1.4
618,4,26,11,0,0,4,1
851,4,70,2,0,0,4,1
206,4,0,3,0,0,4,1
223,4,0,6,0,0,4,1
241,4,0,4,1,0,4,1.33333333333333
2816,4,12,10,2,0,4,1.25
2613,4,247,21,3,55,4,1.16666666666667
975,4,211,15,3,27,4,1.25
268,4,16,17,4,8,4,1.30769230769231
1351,4,33,14,2,23,4,1.16666666666667
2523,4,31,4,0,0,4,1
364,4,40,5,1,13,1,1.25
404,4,75,2,0,75,4,1
412,4,145,2,0,6,4,1
2079,4,0,6,1,0,4,1.2
464,4,14,9,3,0,4,1.5
500,4,0,2,0,0,4,1
1198,4,78,12,0,8,4,1
510,4,0,2,0,0,4,1
1117,4,0,6,2,0,4,1.5
591,4,0,4,0,0,4,1
1479,4,0,3,0,0,4,1
604,4,29,3,0,0,4,1
791,4,76,11,2,24,4,1.22222222222222
1184,4,0,6,0,0,4,1
2305,4,89,15,0,14,4,1
673,4,517,33,4,213,4,1.13793103448276
676,4,29,6,0,29,4,1
809,4,44,2,0,0,4,1
1592,4,0,3,0,0,4,1
835,4,0,8,0,0,4,1
848,4,0,10,2,0,4,1.25
1424,4,0,5,0,0,4,1
895,4,16,3,1,0,4,1.5
2405,4,14,6,0,0,4,1
923,4,0,3,0,0,4,1
1726,4,12,16,3,0,4,1.23076923076923
2676,4,0,4,0,0,4,1
1034,4,0,2,0,0,4,1
2610,4,91,16,4,29,4,1.33333333333333
1778,4,215,12,1,33,4,1.09090909090909
1097,4,0,3,0,0,4,1
1236,4,0,14,1,0,4,1.07692307692308
1165,4,657,3,0,0,4,1
1172,4,0,2,0,0,4,1
1626,4,0,13,2,0,4,1.18181818181818
1629,4,0,4,0,0,4,1
2559,4,14,8,1,0,4,1.14285714285714
1211,4,0,3,0,0,4,1
1213,4,0,2,0,0,4,1
1229,4,20,8,2,0,4,1.33333333333333
1644,4,68,11,1,60,4,1.1
1980,4,95,7,0,13,4,1
1378,4,0,2,0,0,4,1
2674,4,12,4,1,0,4,1.33333333333333
2618,4,0,4,0,0,4,1
1416,4,166,3,0,27,4,1
1445,4,60,3,0,7,4,1
1455,4,8,2,0,4,4,1
1463,4,0,2,0,0,4,1
1869,4,0,5,0,0,4,1
1955,4,72,9,1,0,3,1.125
2049,4,31,8,1,13,4,1.14285714285714
2113,4,0,5,1,0,4,1.25
1574,4,75,3,0,9,3,1
652,4,4,5,0,4,1,1
2027,4,0,3,0,0,4,1
1621,4,0,3,0,0,4,1
2717,4,57,5,0,11,4,1
2383,4,17,10,0,0,4,1
1108,4,135,6,0,24,3,1
2783,4,4,6,1,0,4,1.2
2814,4,0,4,0,0,4,1
2808,4,0,6,0,0,4,1
2835,4,21,4,0,0,4,1
2931,4,31,3,0,31,4,1
1596,4,20,2,0,0,4,1
1771,4,4,4,0,0,4,1
1804,4,0,3,0,0,4,1
1855,4,0,2,0,0,4,1
1877,4,0,2,0,0,4,1
1907,4,62,8,1,18,4,1.14285714285714
1928,4,0,4,0,0,4,1
1966,4,56,4,1,0,4,1.33333333333333
2026,4,0,2,0,0,4,1
2657,4,28,5,1,0,4,1.25
2067,4,0,2,0,0,4,1
2085,4,0,2,0,0,4,1
2098,4,0,2,0,0,4,1
2158,4,0,6,1,0,4,1.2
2189,4,132,5,1,30,4,1.25
2227,4,0,3,0,0,4,1
2247,4,0,3,0,0,4,1
2320,4,45,8,2,39,4,1.33333333333333
2382,4,0,2,0,0,4,1
2386,4,4,5,1,0,4,1.25
2395,4,10,3,0,0,1,1
2396,4,0,2,0,0,4,1
2414,4,0,4,0,0,4,1
2579,4,0,3,0,0,4,1
2596,4,10,2,0,0,4,1
2711,4,0,2,0,0,4,1
2777,4,14,2,0,0,4,1
2796,4,0,3,0,0,4,1
2934,4,41,2,0,18,4,1
766,4,3,2,0,0,3,1
2122,4,31,2,0,0,3,1
2172,4,157,3,0,31,3,1
838,4,0,2,0,0,1,1
1002,4,12,2,0,12,1,1
2865,4,7,4,0,0,1,1
1542,5,0,80,11,0,5,1.15942028985507
1841,5,0,11,2,0,5,1.22222222222222
56,5,33,9,2,0,5,1.28571428571429
1351,5,33,25,3,0,5,1.13636363636364
80,5,0,3,0,0,5,1
152,5,8,6,0,4,5,1
543,5,56,6,1,0,5,1.2
171,5,27,2,0,0,5,1
2278,5,0,11,1,0,5,1.1
559,5,180,7,2,24,5,1.4
851,5,91,2,0,21,5,1
206,5,0,3,0,0,5,1
205,5,84,9,1,17,5,1.125
223,5,0,2,0,0,5,1
241,5,0,3,1,0,5,1.5
2816,5,12,10,2,0,5,1.25
2613,5,32,8,1,0,5,1.14285714285714
975,5,409,21,4,43,5,1.23529411764706
268,5,0,16,3,0,5,1.23076923076923
364,5,50,5,1,10,2,1.25
1778,5,318,15,2,28,5,1.15384615384615
412,5,145,2,0,0,5,1
454,5,75,2,0,0,5,1
464,5,14,9,3,0,5,1.5
500,5,0,2,0,0,5,1
1536,5,81,9,1,11,5,1.125
510,5,0,2,0,0,5,1
1117,5,0,6,2,0,5,1.5
591,5,0,4,0,0,5,1
604,5,29,3,0,0,5,1
618,5,26,6,0,0,5,1
1184,5,0,6,0,0,5,1
949,5,53,10,0,0,1,1
673,5,547,30,3,75,5,1.11111111111111
676,5,43,6,0,14,5,1
791,5,1,4,1,0,5,1.33333333333333
1592,5,0,8,0,0,5,1
809,5,44,2,0,0,5,1
848,5,0,11,2,0,5,1.22222222222222
1604,5,0,3,0,0,5,1
923,5,0,3,0,0,5,1
1726,5,12,17,3,0,5,1.21428571428571
829,5,26,6,0,26,5,1
2674,5,0,3,1,0,5,1.5
1034,5,0,2,0,0,5,1
2610,5,110,16,2,48,5,1.14285714285714
1101,5,3,2,0,3,5,1
1625,5,0,5,0,0,5,1
1165,5,636,4,1,0,5,1.33333333333333
1172,5,0,2,0,0,5,1
1626,5,3,19,3,3,5,1.1875
1629,5,0,8,1,0,5,1.14285714285714
2559,5,6,7,0,0,5,1
1211,5,0,3,0,0,5,1
1213,5,8,11,2,8,5,1.22222222222222
1229,5,20,5,2,0,5,1.66666666666667
1644,5,42,9,0,16,5,1
1980,5,95,10,2,0,5,1.25
1305,5,90,8,1,58,5,1.14285714285714
1321,5,0,4,0,0,5,1
1342,5,0,6,0,0,5,1
1369,5,0,5,0,0,5,1
2657,5,15,3,0,0,5,1
2618,5,0,4,0,0,5,1
1416,5,193,3,0,27,5,1
1424,5,0,2,0,0,5,1
71,5,85,18,1,15,0,1.05882352941176
1455,5,55,3,0,47,5,1
1463,5,0,2,0,0,5,1
1869,5,0,5,0,0,5,1
1154,5,66,10,0,2,1,1
2049,5,49,14,3,8,5,1.27272727272727
2113,5,0,4,0,0,5,1
1574,5,89,3,0,14,4,1
652,5,8,5,0,4,2,1
1582,5,1,2,0,1,5,1
1596,5,20,5,0,0,5,1
2027,5,0,8,0,0,5,1
1621,5,0,3,0,0,5,1
2717,5,61,5,0,4,5,1
2396,5,0,2,0,0,5,1
2383,5,22,17,2,5,5,1.13333333333333
2757,5,129,4,0,11,5,1
2783,5,70,11,2,35,5,1.22222222222222
2814,5,0,4,0,0,5,1
2808,5,0,6,0,0,5,1
2835,5,21,4,0,0,5,1
2931,5,62,3,0,31,5,1
2644,5,51,11,0,0,3,1
1804,5,0,3,0,0,5,1
1855,5,0,2,0,0,5,1
1907,5,79,13,3,17,5,1.3
1966,5,56,4,1,0,5,1.33333333333333
2026,5,0,2,0,0,5,1
2067,5,0,2,0,0,5,1
2079,5,0,4,1,0,5,1.33333333333333
2084,5,4,3,0,4,5,1
2085,5,48,7,1,4,5,1.16666666666667
2158,5,5,8,2,5,5,1.33333333333333
2189,5,65,3,1,0,5,1.5
2201,5,0,2,0,0,5,1
2227,5,0,3,0,0,5,1
2247,5,0,3,0,0,5,1
2306,5,96,8,1,16,5,1.14285714285714
2320,5,6,6,1,0,5,1.2
2382,5,0,2,0,0,5,1
2386,5,4,7,1,0,5,1.16666666666667
2405,5,14,2,0,0,5,1
2414,5,0,4,0,0,5,1
2523,5,0,2,0,0,5,1
2579,5,0,3,0,0,5,1
2676,5,0,4,0,0,5,1
2711,5,0,2,0,0,5,1
2773,5,0,3,0,0,5,1
2172,5,157,3,0,0,4,1
2865,5,7,8,1,0,2,1.14285714285714
919,5,0,2,0,0,1,1
1474,5,0,5,0,0,1,1
1542,6,0,80,11,0,6,1.15942028985507
1841,6,0,11,2,0,6,1.22222222222222
1351,6,56,25,3,23,6,1.13636363636364
80,6,0,2,0,0,6,1
543,6,65,4,0,9,6,1
2278,6,0,11,1,0,6,1.1
559,6,234,7,2,54,6,1.4
206,6,0,3,0,0,6,1
205,6,97,9,1,13,6,1.125
223,6,0,2,0,0,6,1
241,6,0,3,1,0,6,1.5
2816,6,12,6,1,0,6,1.2
975,6,258,19,3,14,6,1.1875
268,6,0,16,3,0,6,1.23076923076923
364,6,71,5,1,21,3,1.25
1778,6,371,15,2,53,6,1.15384615384615
344,6,8,2,0,0,2,1
464,6,14,9,3,0,6,1.5
500,6,0,2,0,0,6,1
510,6,0,2,0,0,6,1
1117,6,0,6,2,0,6,1.5
591,6,0,4,0,0,6,1
604,6,29,3,0,0,6,1
1184,6,0,6,0,0,6,1
949,6,53,10,0,0,2,1
919,6,0,3,0,0,2,1
676,6,100,6,0,57,6,1
791,6,0,3,0,0,6,1
1592,6,0,8,0,0,6,1
848,6,0,6,1,0,6,1.2
851,6,103,2,0,12,6,1
1604,6,0,3,0,0,6,1
923,6,0,3,0,0,6,1
941,6,0,13,3,0,6,1.3
2027,6,0,13,2,0,6,1.18181818181818
672,6,658,37,6,0,5,1.19354838709677
1034,6,0,2,0,0,6,1
2610,6,87,22,3,8,6,1.15789473684211
1625,6,0,3,0,0,6,1
1165,6,636,4,1,0,6,1.33333333333333
1172,6,0,2,0,0,6,1
1626,6,3,16,3,0,6,1.23076923076923
1629,6,0,4,0,0,6,1
2559,6,6,7,0,0,6,1
1211,6,0,3,0,0,6,1
1213,6,16,11,2,8,6,1.22222222222222
1229,6,20,4,1,0,6,1.33333333333333
1644,6,44,9,0,2,6,1
1979,6,76,6,0,0,6,1
1305,6,102,8,1,12,6,1.14285714285714
1342,6,0,6,0,0,6,1
2657,6,15,3,0,0,6,1
2618,6,0,4,0,0,6,1
1416,6,197,3,0,4,6,1
1424,6,0,2,0,0,6,1
1455,6,102,3,0,47,6,1
1463,6,0,2,0,0,6,1
1869,6,0,5,0,0,6,1
1154,6,66,9,0,0,2,1
2049,6,39,11,2,0,6,1.22222222222222
1198,6,0,8,0,0,6,1
2113,6,0,4,0,0,6,1
2243,6,115,5,0,14,3,1
652,6,8,5,0,0,3,1
1582,6,1,4,0,0,6,1
1596,6,28,5,0,8,6,1
17,6,38,7,0,28,0,1
1621,6,0,3,0,0,6,1
2386,6,0,6,1,0,6,1.2
2757,6,135,4,0,6,6,1
2783,6,83,9,1,17,6,1.125
2814,6,0,4,0,0,6,1
2808,6,0,6,0,0,6,1
2835,6,21,4,0,0,6,1
2931,6,62,3,0,0,6,1
1804,6,0,3,0,0,6,1
1855,6,0,2,0,0,6,1
1907,6,79,10,2,0,6,1.25
1966,6,56,4,1,0,6,1.33333333333333
2026,6,0,2,0,0,6,1
2067,6,0,2,0,0,6,1
2079,6,0,4,1,0,6,1.33333333333333
2085,6,52,7,1,4,6,1.16666666666667
2158,6,10,8,2,5,6,1.33333333333333
562,6,40,5,0,28,2,1
2201,6,3,2,0,3,6,1
2227,6,0,3,0,0,6,1
2247,6,0,3,0,0,6,1
2320,6,0,4,0,0,6,1
2382,6,0,2,0,0,6,1
2383,6,0,7,1,0,6,1.16666666666667
2396,6,0,2,0,0,6,1
2405,6,14,2,0,0,6,1
2414,6,0,4,0,0,6,1
2579,6,0,3,0,0,6,1
2674,6,0,3,1,0,6,1.5
2676,6,0,4,0,0,6,1
2701,6,0,3,1,0,6,1.5
2711,6,0,2,0,0,6,1
2717,6,40,2,0,0,6,1
2773,6,0,3,0,0,6,1
71,6,3,3,0,0,1,1
358,6,59,2,0,43,1,1
576,6,0,4,0,0,1,1
1100,6,6,4,0,3,1,1
2459,6,17,3,0,0,1,1
2541,6,0,4,0,0,1,1
1542,7,0,80,11,0,7,1.15942028985507
1841,7,0,11,2,0,7,1.22222222222222
1351,7,56,25,3,0,7,1.13636363636364
80,7,0,2,0,0,7,1
544,7,71,5,0,0,1,1
317,7,276,10,1,109,3,1.11111111111111
206,7,0,3,0,0,7,1
205,7,71,8,0,0,7,1
223,7,0,2,0,0,7,1
241,7,0,3,1,0,7,1.5
2816,7,12,6,1,0,7,1.2
725,7,224,11,3,0,7,1.375
