linkId,maxDist,medianDist,maxSimDist,medianSimDist,sumCostOfTrees,sumOfOwnCost,upTo90Count,upTo100Count
758,297,156,4691,2573,854,1,6,6
756,297,135,3348,1841,608,2,5,5
754,135,94,2632,737,413,9,3,3
752,225,135,4511,2600,552,0,4,4
5488,63,63,3022,3022,450,15,2,2
7981,41,41,2450,2450,447,2,2,2
13323,0,0,0,0,69,0,1,1
4539,41,41,1749,1749,488,0,2,2
17582,0,0,0,0,396,0,1,1
5491,0,0,0,0,396,0,1,1
5927,0,0,0,0,936,0,1,1
17515,0,0,0,0,936,0,1,1
9731,0,0,0,0,936,0,1,1
2682,55,55,3468,3468,18004,0,1,2
2681,55,55,1077,1077,18004,0,1,2
13581,0,0,0,0,17936,0,1,1
6390,102,83,4936,4527,6360,767,2,3
5911,0,0,0,0,1085,563,1,1
2786,135,135,2100,2100,1369,200,1,2
3420,68,68,4193,4193,1503,53,2,2
3423,68,68,2283,2283,1503,0,2,2
8855,68,68,4408,4408,1503,0,2,2
8857,68,68,3165,3165,1428,0,2,2
6425,93,93,2385,2385,446,0,2,2
2480,0,0,0,0,275,0,1,1
1827,320,290,5213,2988,1591,145,5,6
1699,217,139,2756,2144,652,196,3,4
6255,217,217,2227,2227,374,0,2,2
6254,217,217,2011,2011,374,9,2,2
6530,106,100,2999,1237,2428,177,1,3
1066,273,142,4843,3458,1318,572,5,6
7800,1389,1389,1006,1006,522,145,2,2
1586,391,251,5478,2685,1007,42,4,4
459,168,94,3646,2792,913,112,3,4
8473,270,270,5029,5029,458,55,2,2
8472,270,270,1006,1006,458,94,2,2
11934,98,60,764,366,351,0,3,3
11936,98,60,4756,1044,351,0,3,3
11938,98,60,4770,4692,351,0,3,3
8659,0,0,0,0,225,32,1,1
1872,56,56,1080,1080,211,0,2,2
14370,0,0,0,0,578,0,1,1
8933,0,0,0,0,578,0,1,1
8067,0,0,0,0,343,56,1,1
8070,0,0,0,0,343,0,1,1
8856,322,126,4261,3378,1034,0,4,4
3422,322,126,4039,3143,1034,0,4,4
1911,221,135,5109,4079,509,38,4,4
1493,108,39,4318,4280,373,23,3,3
514,0,0,0,0,545,0,1,1
11728,0,0,0,0,545,0,1,1
11730,0,0,0,0,545,0,1,1
11988,0,0,0,0,545,0,1,1
367,166,166,1750,1750,294,0,2,2
366,166,166,3930,3930,294,22,2,2
16209,0,0,0,0,496,0,1,1
6699,154,154,1358,1358,797,6,2,2
15574,422,360,4446,1839,545,0,3,3
419,0,0,0,0,149,60,1,1
14922,0,0,0,0,149,0,1,1
1605,0,0,0,0,130,40,1,1
1607,0,0,0,0,130,32,1,1
1609,0,0,0,0,130,58,1,1
10856,417,202,4849,2943,6439,0,3,4
1306,417,183,2262,2015,6531,147,4,5
2293,39,39,3342,3342,362,20,2,2
9545,0,0,0,0,79,0,1,1
4917,0,0,0,0,79,0,1,1
5010,0,0,0,0,189,134,1,1
2038,205,123,3052,2607,168,51,3,3
9033,0,0,0,0,78,0,1,1
17619,0,0,0,0,78,0,1,1
17621,0,0,0,0,78,0,1,1
17795,0,0,0,0,78,0,1,1
8677,162,162,1932,1932,139,59,2,2
6018,0,0,0,0,386,0,1,1
1498,0,0,0,0,386,6,1,1
1497,0,0,0,0,386,0,1,1
6405,0,0,0,0,386,380,1,1
15027,0,0,0,0,386,0,1,1
2636,0,0,0,0,386,0,1,1
2637,0,0,0,0,386,0,1,1
15026,0,0,0,0,386,0,1,1
6404,0,0,0,0,386,0,1,1
2132,105,75,4085,2994,734,255,3,3
11477,105,75,2562,2528,734,0,3,3
2128,105,43,4451,1945,813,28,5,5
8230,410,207,5233,3909,3601,18,3,4
15077,83,83,2684,2684,998,0,2,2
10017,309,248,4502,2411,1237,0,4,4
919,0,0,0,0,818,39,1,1
3721,226,226,578,578,1683,1180,1,2
12704,226,226,630,630,1683,0,1,2
7376,226,226,2867,2867,1683,0,1,2
3759,0,0,0,0,2173,0,1,1
1283,133,133,2273,2273,2162,139,2,2
3503,409,409,1022,1022,8618,94,2,2
275,0,0,0,0,158,61,1,1
8116,0,0,0,0,158,8,1,1
3537,0,0,0,0,158,0,1,1
3536,0,0,0,0,158,1,1,1
5685,405,189,5000,1857,2458,2,4,4
1667,182,182,1504,1504,130,4,2,2
915,0,0,0,0,119,116,1,1
141,142,142,557,557,4936,10,2,2
